,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,Moving On,2024-04-22,9223,425,0,90,Apr
1,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,2888,75,0,24,Nov
2,A Data Dream Come True,2023-11-17,2335,95,0,23,Nov
3,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6283,413,0,77,Sep
4,How to Survive a Down Data Job Market,2023-09-05,17441,576,0,63,Sep
5,The Harsh Reality of the Data Job Market,2023-08-24,108364,2612,0,288,Aug
6,7 Industries AI will Aggressively Disrupt,2023-08-14,6468,249,0,42,Aug
7,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4434,133,0,48,Aug
8,7 Enticing Jobs AI Will Create,2023-07-24,4832,199,0,37,Jul
9,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4188,144,0,31,Jul
10,Exciting Announcement!,2023-06-23,6691,297,0,50,Jun
11,AI: A Customer Service Revolution?,2023-05-26,3996,123,0,35,May
12,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,51597,1625,0,60,May
13,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,35472,1477,0,77,May
14,This AI question will determine our future,2023-04-06,4321,262,0,37,Apr
15,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71489,834,0,78,Apr
16,Your current portfolio is actually hurting you #shorts,2023-03-30,8892,501,0,7,Mar
17,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7869,418,0,2,Mar
18,you're job searching wrong. #shorts,2023-03-23,4528,269,0,3,Mar
19,The Economics of Data Roles #shorts,2023-03-21,10381,626,0,13,Mar
20,Why your phone knows everything you say #shorts,2023-03-18,3650,170,0,8,Mar
21,Read these for a successful career. #shorts,2023-03-16,3259,255,0,2,Mar
22,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2947,56,0,5,Mar
23,How I Realized I Was a Bad Manager #shorts,2023-03-07,3038,142,0,1,Mar
24,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20878,773,0,49,Mar
25,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8677,280,0,13,Mar
26,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2821,171,0,2,Feb
27,Learning On the companies dime #shorts,2023-02-24,3267,177,0,1,Feb
28,The Best Way to Transition to Data Science? #shorts,2023-02-21,4581,281,0,6,Feb
29,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7380,411,0,6,Feb
30,Don't Go into Data for the Money #shorts,2023-02-15,3836,220,0,12,Feb
31,First Data Science Project? Watch This.,2023-02-13,7915,377,0,24,Feb
32,How to Approach Applying for a Data Role #shorts,2023-02-08,3710,245,0,7,Feb
33,The Hard Reality of Data Science Work #shorts,2023-02-06,17260,907,0,18,Feb
34,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,5007,198,0,6,Feb
35,These 3 Things Make Data Science Special #shorts,2023-02-01,4448,350,0,7,Feb
36,Will Data Science Be Automated? #shorts,2023-01-27,10510,437,0,9,Jan
37,Is Data Science A Good Fit For You? #shorts,2023-01-25,5303,300,0,10,Jan
38,5 Books I Wish I Read Earlier In My Career,2023-01-23,9717,524,0,51,Jan
39,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,10516,813,0,16,Jan
40,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6428,476,0,10,Jan
41,How long does it take to become a Data Scientist? #shorts,2023-01-12,7863,530,0,8,Jan
42,Where & how to start your Data Science Journey #shorts,2023-01-09,7201,430,0,3,Jan
43,How I Would NOT Learn Data Science in 2023.,2023-01-03,128980,4197,0,256,Jan
44,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4985,208,0,28,Dec
45,The Essential Programming Concepts For Learning Data Science,2022-11-14,20884,859,0,46,Nov
46,The Data Content House: What You Missed,2022-10-07,10609,348,0,49,Oct
47,Is Data Science A Good Career?,2022-09-29,64067,1980,0,140,Sep
